COD_APE;DATA_INS;RESIDENZIALE;NON_RESIDENZIALE;COMUNE_CATASTALE;SEZIONE;FOGLIO;PARTICELLA;SUBALTERNO;PROPRIETA_PUBBLICA;USO_PUBBLICO;CLASSIFICAZIONE_DPR;INTERO_EDIFICIO;UNITA_IMMOBILIARE;GRUPPO_UNITA_IMMOBILIARI;NUMERO_UNITA_IMMOBILIARI;NUOVA_COSTRUZIONE;PASSAGGIO_PROPRIETA;LOCAZIONE;RISTRUTTURAZIONE_IMPORTANTE;RIQUALIFICAZIONE_ENERGETICA;OGGETTO_ALTRO;OGGETTO_ALTRO_TXT;REGIONE;COMUNE;INDIRIZZO;PIANO;INTERNO;lat;lng;location;ZONA_CLIMATICA;ANNO_COSTRUZIONE;SUPERF_UTILE_RISCALDATA;SUPERF_UTILE_RAFFRESCATA;VOLUME_LORDO_RISCALDATO;VOLUME_LORDO_RAFFRESCATO;CLIMATIZZAZIONE_INVERNALE;CLIMATIZZAZIONE_ESTIVA;VENTILAZIONE_MECCANICA;PROD_ACQUA_CALDA_SANITARIA;ILLUMINAZIONE;TRASPORTO_PERSONE_COSE;PI;PE;EDIFICIO_ENERGIA_QUASI_ZERO;CLASSE_ENERGETICA;EP_GL_NREN;Y;Z;EP_GL_REN;EMISSIONI_CO2;CONSUMI_ENERGIA_ELETTRICA;CONSUMI_GAS_NATURALE;CONSUMI_GPL;CONSUMI_CARBONE;CONSUMI_GASOLIO;CONSUMI_BIOMASSE_SOLIDE;CONSUMI_BIOMASSE_LIQUIDE;CONSUMI_BIOMASSE_GASSOSE;CONSUMI_SOLARE_FOTOVOLTAICO;CONSUMI_SOLARE_TERMICO;CONSUMI_EOLICO;CONSUMI_TELERISCALDAMENTO;CONSUMI_TELERAFFRESCAMENTO;CONSUMI_ALTRO;RIQ_CLASSE_RAGG;RIQ_EP_GL_NREN_RAGG;DS_CODICE_INTERVENTO_1;DS_TIPO_INTERVENTO_1;FL_COMPORTA_RISTRUT_1;NM_TEMPO_RITORNO_INVESTIM_1;DS_CLASSE_RAGGIUNGIBILE_1;NM_EP_GL_NREN_RAGGIUNG_1;DS_CODICE_INTERVENTO_2;DS_TIPO_INTERVENTO_2;FL_COMPORTA_RISTRUT_2;NM_TEMPO_RITORNO_INVESTIM_2;DS_CLASSE_RAGGIUNGIBILE_2;NM_EP_GL_NREN_RAGGIUNG_2;DS_CODICE_INTERVENTO_3;DS_TIPO_INTERVENTO_3;FL_COMPORTA_RISTRUT_3;NM_TEMPO_RITORNO_INVESTIM_3;DS_CLASSE_RAGGIUNGIBILE_3;NM_EP_GL_NREN_RAGGIUNG_3;DS_CODICE_INTERVENTO_4;DS_TIPO_INTERVENTO_4;FL_COMPORTA_RISTRUT_4;NM_TEMPO_RITORNO_INVESTIM_4;DS_CLASSE_RAGGIUNGIBILE_4;NM_EP_GL_NREN_RAGGIUNG_4;DS_CODICE_INTERVENTO_5;DS_TIPO_INTERVENTO_5;FL_COMPORTA_RISTRUT_5;NM_TEMPO_RITORNO_INVESTIM_5;DS_CLASSE_RAGGIUNGIBILE_5;NM_EP_GL_NREN_RAGGIUNG_5;DS_CODICE_INTERVENTO_6;DS_TIPO_INTERVENTO_6;FL_COMPORTA_RISTRUT_6;NM_TEMPO_RITORNO_INVESTIM_6;DS_CLASSE_RAGGIUNGIBILE_6;NM_EP_GL_NREN_RAGGIUNG_6;DS_CODICE_INTERVENTO_7;DS_TIPO_INTERVENTO_7;FL_COMPORTA_RISTRUT_7;NM_TEMPO_RITORNO_INVESTIM_7;DS_CLASSE_RAGGIUNGIBILE_7;NM_EP_GL_NREN_RAGGIUNG_7;ENERGIA_ESPORTATA;VETTORE_ENERGETICO;SUPERFICIE_DISPERDENTE;RAPPORTO_SV;EP_H_ND;A_SOL_EST_A_SUP_UTILE;Y_IE;CI_TIPO_IMPIANTO_1;CI_CODICE_CATASTO_1;CI_VETTORE_ENERGETICO_1;CI_POTENZA_NOMINALE_1;CI_TIPO_IMPIANTO_2;CI_VETTORE_ENERGETICO_2;CI_POTENZA_NOMINALE_2;CI_EFFICIENZA_MEDIA;CI_EPREN;CI_EPNREN;CE_TIPO_IMPIANTO_1;CE_VETTORE_ENERGETICO_1;CE_POTENZA_NOMINALE_1;CE_TIPO_IMPIANTO_2;CE_VETTORE_ENERGETICO_2;CE_POTENZA_NOMINALE_2;CE_EFFICIENZA_MEDIA;CE_EPREN;CE_EPNREN;PA_TIPO_IMPIANTO;PA_VETTORE_ENERGETICO;PA_POTENZA_NOMINALE;PA_EFFICIENZA_MEDIA;PA_EPREN;PA_EPNREN;IC_TIPO_IMPIANTO;IC_VETTORE_ENERGETICO;IC_POTENZA_NOMINALE;IC_EFFICIENZA_MEDIA;IC_EPREN;IC_EPNREN;PFR_TIPO_IMPIANTO_1;PFR_VETTORE_ENERGETICO_1;PFR_POTENZA_NOMINALE_1;PFR_EFFICIENZA_MEDIA_1;PFR_EPREN_1;PFR_EPNREN_1;PFR_TIPO_IMPIANTO_2;PFR_VETTORE_ENERGETICO_2;PFR_POTENZA_NOMINALE_2;PFR_EFFICIENZA_MEDIA_2;PFR_EPREN_2;PFR_EPNREN_2;VM_TIPO_IMPIANTO;VM_ANNO_INSTALLAZIONE;VM_VETTORE_ENERGETICO;VM_POTENZA_NOMINALE;VM_EFFICIENZA_MEDIA;VM_EPREN;VM_EPNREN;ILL_TIPO_IMPIANTO;ILL_VETTORE_ENERGETICO;ILL_POTENZA_NOMINALE;ILL_EFFICIENZA_MEDIA;ILL_EPREN;ILL_EPNREN;TPC_TIPO_IMPIANTO_1;TPC_VETTORE_ENERGETICO_1;TPC_POTENZA_NOMINALE_1;TPC_EFFICIENZA_MEDIA_1;TPC_EPREN_1;TPC_EPNREN_1;TPC_TIPO_IMPIANTO_2;TPC_VETTORE_ENERGETICO_2;TPC_POTENZA_NOMINALE_2;TPC_EFFICIENZA_MEDIA_2;TPC_EPREN_2;TPC_EPNREN_2;SOPRALLUOGO;SW_REQUISITI;SW_SEMPLIFICATO;ENTE_PUBBLICO;TECNICO_ABILITATO;SOCIETA;NOME_DENOMINAZIONE_CERT;TITOLO_CERT;ORDINE_CERT;potential_energyuse_reduction
1514600798819;27/03/2019;True;False;MILANO;;483;205;41;False;False;E.1 (1);False;True;False;63;False;True;False;False;False;False;;Lombardia;MILANO;Piazza Insubria 24;6;;45.452262852387705;9.220209431078636;(45.452262852387705, 9.220209431078635);E;1946-1960;19.72;0.0;72.8;0.0;True;False;False;True;False;False;red;yellow;False;G;341.42;D (88,63);;19.45;82.3;816.02;0.0;0;0.0;404.82;0.0;0.0;0;0;0.0;0;0;0.0;0.0;E;141.41;1.0;Fabbricato - involucro opaco;No;12.8;9.0;193.84;2.0;Fabbricato - involucro trasparente;No;19.5;10.0;295.67;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;13.9;8.0;141.41;0.0;;45.83;0.63;157.3;0.03;1.1;Generatore a combustione;;Gasolio e olio combustibile;186.0;;;;0.6;0.01;260.78;;;;;;;0.0;0.0;0.0;Scalda-acqua;Energia elettrica;1.5;0.34;19.44;80.64;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Michelangelo Salerno;Diploma di geometra;Altro;200.01000000000002
1514601380519;23/05/2019;True;False;MILANO;;274;480;101;False;False;E.1 (1);False;True;False;9;False;True;False;False;False;False;;Lombardia;MILANO;Via Giuseppe Luosi 2;T;;45.481418389801924;9.22227199179058;(45.48141838980192, 9.222271991790581);E;1946-1960;70.93;0.0;273.74;0.0;True;False;False;True;False;False;red;green;False;G;282.21;B (60,77);;0.83;53.81;124.68;1894.58;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;C;82.19;1.0;Fabbricato - involucro opaco;Si;7.0;7.0;106.19;2.0;Fabbricato - involucro trasparente;No;12.6;10.0;253.7;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;8.0;6.0;82.19;0.0;;170.93;0.62;171.86;0.02;0.11;Generatore a combustione;I92O846584535703;Gas naturale;31.3;;;;0.66;0.77;262.35;;;;;;;0.0;0.0;0.0;Generatore a combustione;Gas naturale;31.3;0.87;0.06;19.86;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Davide Manco;Diploma di geometra;Collegio dei geometri;200.01999999999998
1514601547219;07/06/2019;True;False;MILANO;;441;322;729;False;False;E.1 (1);False;True;False;54;False;True;False;False;False;True;Annuncio commerciale;Lombardia;MILANO;Via G. Pinaroli 3;6°;;45.45861744984947;9.213323672252832;(45.45861744984947, 9.213323672252832);E;1930-1945;37.49;0.0;152.13;0.0;True;False;False;True;False;False;red;yellow;False;G;456.75;B (45,27);;1.98;87.18;158.09;1611.13;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;G;256.7;1.0;Fabbricato - involucro opaco;Si;15.0;10.0;269.54;2.0;Fabbricato - involucro trasparente;No;6.0;10.0;443.17;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;Si;20.0;10.0;256.7;0.0;;90.43;0.59;205.52;0.07;0.13;Generatore a combustione;;Gas naturale;334.0;;;;0.72;0.27;284.83;;;;;;;0.0;0.0;0.0;Generatore a combustione;Gas naturale;25.0;0.1;1.71;171.92;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Riccardo De Col;Laurea magistrale in ingegneria;Ordine degli ingegneri;200.05
1514602993115;24/11/2015;False;False;MILANO;;478;124;4;False;False;E.1(1);False;True;False;2;False;True;False;False;False;True;Annuncio commerciale;Lombardia;MILANO;Via Orti 25;Terra, primo, secondo;;45.45526531444378;9.20111591075571;(45.455265314443785, 9.20111591075571);E;1930-1945;336.27;0.0;1712.06;0.0;True;False;False;False;False;False;red;green;False;G;250.69;B (14,75);;0.0;47.7;0.0;8077.01;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;F;50.6;1.0;Fabbricato - involucro opaco;Si;17.0;10.0;80.56;2.0;Fabbricato - involucro trasparente;Si;17.0;10.0;216.81;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;Si;18.0;9.0;50.6;0.0;;808.25;0.47;183.72;0.01;0.0;Impianto simulato in quanto assente;;Gas naturale;;;;;0.73;0.0;250.69;;;;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;0.0;0.0;;;;;;;;;;;;;True;True;False;False;True;False;Walter Ronzoni;Laurea magistrale in ingegneria;Ordine degli ingegneri;200.09
1514601115818;07/05/2018;True;False;MILANO;;431;69;8;False;False;E.1(1);False;True;False;14;False;True;False;False;False;True;Annuncio commerciale;Lombardia;MILANO;VIA CLEFI 3;;;45.46208999694332;9.149938452652071;(45.46208999694332, 9.149938452652071);E;1930-1945;67.63;0.0;291.85;0.0;True;False;False;True;False;False;red;yellow;False;G;334.97;B (71,93);;0.17;63.76;24.8;2165.89;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;;;1.0;Fabbricato - involucro opaco;No;20.0;7.0;134.87;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;170.79;0.59;196.49;0.02;0.41;Generatore a combustione;;Gas naturale;128.0;;;;0.64;0.17;308.12;;;;;;;0.0;0.0;0.0;Scalda-acqua;Gas naturale;18.0;0.65;0.0;26.84;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Massimiliano Trevisan;Laurea magistrale in architettura;Ordine degli architetti;200.10000000000002
1514601072016;16/04/2016;True;False;MILANO;;436;32;12;False;False;E.1(1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;Via Cesare Correnti 14;4;;45.459829857943824;9.179713231560696;(45.45982985794382, 9.179713231560696);E;1939;8.27;0.0;25.7;0.0;True;False;False;True;False;False;red;red;False;G;572.48;A1 (130,76);;0.0;108.94;0.0;453.62;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;;;1.0;Fabbricato - involucro opaco;No;9.0;9.0;372.37;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;31.26;1.22;334.15;0.04;0.75;Impianto simulato in quanto assente;;Gas naturale;;;;;0.73;0.0;455.96;;;;;;;0.0;0.0;0.0;;;;0.57;0.0;116.52;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;True;True;False;False;True;False;MAURIZIO GRIGOLON;Diploma di perito industriale o di istruzione tecnica;Collegio dei periti industriali;200.11
1514600591520;22/02/2020;True;False;MILANO;;336;15;18;False;False;E.1 (1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;Via Capecelatro 41;4;;45.47079197362376;9.129728480497462;(45.470791973623754, 9.129728480497464);E;1967;25.45;0.0;97.25;0.0;True;False;False;True;False;False;red;yellow;False;G;457.58;C (114,9);;14.54;92.85;787.1;0.0;0;0.0;0.0;0.0;0.0;0;0;0.0;0;6740;0.0;0.0;G;257.46;1.0;Fabbricato - involucro opaco;No;8.5;10.0;334.24;2.0;Fabbricato - involucro trasparente;No;8.5;10.0;372.4;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;8.8;10.0;257.46;0.0;;69.68;0.72;211.02;0.02;0.54;Teleriscaldamento;CX7NH39191573103;Teleriscaldamento;100.0;;;;0.53;0.01;397.33;;;;;;;0.0;0.0;0.0;Scalda-acqua;Energia elettrica;1.2;0.36;14.52;60.25;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Maurizio Chemini;Diploma di perito industriale o di istruzione tecnica;Collegio dei periti industriali;200.12
1514600941820;23/03/2020;True;False;MILANO;;227;267;0;False;False;E.1 (1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;VIA PRIVATA JACOPO PERI 1;T;;45.49203081492888;9.201009066800928;(45.492030814928874, 9.201009066800928);E;Prima del 1930;119.1;0.0;583.09;0.0;True;False;False;True;False;False;red;green;False;G;378.59;A4 (0,0);;0.0;72.04;0.0;4320.24;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;E;178.44;1.0;Fabbricato - involucro opaco;No;7.2;8.0;214.61;2.0;Fabbricato - involucro trasparente;No;10.3;10.0;342.41;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;7.7;8.0;178.44;0.0;;419.16;0.72;258.03;0.02;0.01;Impianto simulato in quanto assente;;Gas naturale;;;;;0.73;0.0;352.09;;;;;;;0.0;0.0;0.0;;;;0.57;0.0;26.5;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;True;True;False;False;True;False;DANIELE CANEPA;Diploma di geometra;Collegio dei geometri;200.14999999999998
1514601302020;28/05/2020;True;False;MILANO;;231;47;26;False;False;E.1 (1);False;True;False;42;False;True;False;False;False;True;Annuncio commerciale;Lombardia;MILANO;VIA VENINI 90;2;;45.49562834863985;9.217636006605606;(45.49562834863985, 9.217636006605606);E;Prima del 1930;22.0;0.0;88.0;0.0;True;False;False;True;False;False;red;green;False;G;459.97;B (105,46);;1.59;87.74;74.53;955.63;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;;;1.0;Fabbricato - involucro opaco;No;10.0;8.0;259.8;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;33.04;0.38;237.98;0.0;0.0;Generatore a combustione;;Gas naturale;24.0;;;;0.56;1.57;425.3;;;;;;;0.0;0.0;0.0;Generatore a combustione;Gas naturale;24.0;0.72;0.02;34.67;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Roberto Bozza;Diploma di geometra;Collegio dei geometri;200.17000000000002
1514603396717;06/12/2017;True;False;MILANO;;433;2;42;False;False;E.1(1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;Via Matteo Bandello 22;3;;45.46307046801646;9.165476141800491;(45.46307046801646, 9.16547614180049);E;1850;22.4;0.0;90.2;0.0;True;False;False;True;False;False;red;yellow;False;G;298.26;B (65,46);;0.0;56.75;0.0;640.12;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;D;98.08;1.0;Fabbricato - involucro opaco;No;4.7;7.0;110.28;2.0;Fabbricato - involucro trasparente;No;9.7;10.0;286.0;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;5.1;7.0;98.08;0.0;;80.2;0.89;187.05;0.03;0.1;Impianto simulato in quanto assente;;Gas naturale;;;;;0.73;0.0;255.24;;;;;;;0.0;0.0;0.0;;;;0.57;0.0;43.02;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;True;True;False;False;True;False;Giuseppe Randazzo;Diploma di geometra;Collegio dei geometri;200.18
1514602526419;03/10/2019;True;False;MILANO;;128;253;27;False;False;E.1 (1);False;True;False;64;False;True;False;False;False;False;;Lombardia;MILANO;Via Mac Mahon 109;3;;45.49659602505996;9.153829236486759;(45.49659602505995, 9.15382923648676);E;1930-1945;57.34;0.0;239.7;0.0;True;False;False;True;False;False;red;yellow;False;G;271.99;B (67,96);;0.0;51.76;0.12;1494.27;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;B;71.8;1.0;Fabbricato - involucro opaco;No;7.4;6.0;88.46;2.0;Fabbricato - involucro trasparente;No;15.4;10.0;249.31;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;8.6;5.0;71.8;0.0;;149.41;0.62;190.07;0.02;0.16;Generatore a combustione;;Gas naturale;1986.0;;;;0.78;0.0;244.59;;;;;;;0.0;0.0;0.0;Scalda-acqua;Gas naturale;19.0;0.68;0.0;27.4;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Alessandro Marzari;Diploma di laurea in ingegneria;Ordine degli ingegneri;200.19
1514600357219;13/02/2019;True;False;MILANO;;336;251;16;False;False;E.1 (1);False;True;False;29;False;True;False;False;False;True;Annuncio commerciale;Lombardia;MILANO;VIA CIVITALI 19;2;;45.470024885699864;9.135092582745012;(45.470024885699864, 9.135092582745012);E;1946-1960;23.3;16.93;96.98;67.47;True;True;False;True;False;False;red;yellow;False;G;529.73;B (103,46);;6.78;101.7;336.11;1119.8;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;;;1.0;Fabbricato - involucro opaco;No;20.0;9.0;329.51;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;73.31;0.76;257.89;0.02;0.49;Generatore a combustione;;Gas naturale;24.0;;;;0.54;1.95;473.9;Pompa di calore;Energia elettrica;2.64;;;;0.8;4.83;20.04;Scalda-acqua;Gas naturale;22.5;0.65;0.0;35.79;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;ALBERTO GHEZZI;Laurea magistrale in architettura;Ordine degli architetti;200.22000000000003
1514602801417;14/10/2017;True;False;MILANO;;86;14;3;False;False;E.1(1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;Via trasimeno 67;T;;45.516319377530564;9.249815043504556;(45.51631937753056, 9.249815043504555);E;Prima del 1930;66.09;0.0;303.29;0.0;True;False;False;True;False;False;red;yellow;False;G;280.26;B (66,37);;0.0;53.33;0.0;1774.66;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;C;80.02;1.0;Fabbricato - involucro opaco;Si;8.9;7.0;101.18;2.0;Fabbricato - involucro trasparente;Si;29.0;10.0;258.15;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;11.1;6.0;80.02;0.0;;139.0;0.46;182.48;0.02;0.25;Impianto simulato in quanto assente;;Gas naturale;;;;;0.73;0.0;249.0;;;;;;;0.0;0.0;0.0;;;;0.57;0.0;31.26;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;True;True;False;False;True;False;Marcello Monti;Diploma di geometra;Collegio dei geometri;200.24
1514601802518;19/07/2018;True;False;MILANO;;476;26;715;False;False;E.1(1);False;True;False;50;False;True;False;False;False;True;Annuncio commerciale;Lombardia;MILANO;Via Vigoni 8;Seminterrato;;45.45418812113623;9.189057746637117;(45.45418812113623, 9.189057746637118);E;1961-1976;34.15;0.0;163.72;0.0;True;False;False;True;False;False;red;yellow;False;F;332.59;B (115,3);;11.23;64.77;816.08;935.77;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;;;1.0;Fabbricato - involucro opaco;No;4.8;6.0;132.27;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;148.0;0.9;248.13;0.02;0.16;Generatore a combustione;;Gas naturale;220.4;;;;0.85;1.09;290.5;;;;;;;0.0;0.0;0.0;Scalda-acqua;Energia elettrica;1.2;0.38;10.15;42.09;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Stefano Lorenzi;Laurea magistrale in ingegneria;Ordine degli ingegneri;200.31999999999996
1514600591220;22/02/2020;True;False;MILANO;;336;15;8;False;False;E.1 (1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;Via Capecelatro 41;1;;45.47079197362376;9.129728480497462;(45.470791973623754, 9.129728480497464);E;1967;26.16;0.0;102.81;0.0;True;False;False;True;False;False;red;yellow;False;G;347.95;C (107,38);;14.14;70.89;786.92;0.0;0;0.0;0.0;0.0;0.0;0;0;0.0;0;5045;0.0;0.0;E;147.61;1.0;Fabbricato - involucro opaco;No;9.8;9.0;214.11;2.0;Fabbricato - involucro trasparente;No;9.5;10.0;280.95;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;9.7;8.0;147.61;0.0;;56.61;0.55;157.98;0.03;0.51;Teleriscaldamento;CX7NH39191573103;Teleriscaldamento;100.0;;;;0.55;0.01;289.33;;;;;;;0.0;0.0;0.0;Scalda-acqua;Energia elettrica;1.2;0.36;14.13;58.61;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Maurizio Chemini;Diploma di perito industriale o di istruzione tecnica;Collegio dei periti industriali;200.33999999999997
1514600462717;15/02/2017;True;False;MILANO;;336;77;6;False;False;E.1(1);False;True;False;1;False;False;True;False;False;True;Annuncio commerciale;Lombardia;MILANO;VIA MORGANTINI 32;1;;45.468605562749396;9.13163710966382;(45.468605562749396, 9.13163710966382);E;1946-1960;71.14;0.0;314.5;0.0;True;False;False;True;False;False;red;yellow;False;G;223.33;D (76,11);;12.41;52.68;1878.02;0.0;0;0.0;0.0;0.0;0.0;0;0;0.0;0;8150;0.0;0.0;A3;22.95;1.0;Fabbricato - involucro opaco;No;3.0;8.0;111.28;2.0;Fabbricato - involucro trasparente;No;4.0;10.0;195.21;;;;;;;;;;;;;;;;;;;6.0;Fonti rinnovabili;No;25.0;8.0;108.54;7.0;Cumulativo;No;10.5;2.0;22.95;0.0;;95.66;0.3;97.74;0.02;0.14;Teleriscaldamento;;Teleriscaldamento;120.0;;;;0.56;0.28;173.0;;;;;;;0.0;0.0;0.0;Scalda-acqua;Energia elettrica;1.2;0.34;12.13;50.33;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;SIMONE GAUDENZI;Diploma di geometra;Collegio dei geometri;200.38000000000002
1514602238720;31/08/2020;True;False;MILANO;;218;167;801;False;False;E.1 (1);False;True;False;1;False;True;False;False;False;False;;Lombardia;MILANO;VIA TOLENTINO 1;7;;45.488141942471934;9.160455298678665;(45.488141942471934, 9.160455298678663);E;1961-1976;42.75;42.75;159.1;159.1;True;True;False;True;False;False;red;yellow;False;D;200.57;B (126,4);;18.98;40.68;1726.68;498.93;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;A4;0.0;1.0;Fabbricato - involucro opaco;No;11.1;6.0;162.38;2.0;Fabbricato - involucro trasparente;No;115.2;6.0;137.07;;;;;;;;;;;;;;;;;;;;;;;;;7.0;Cumulativo;No;1e-08;1.0;0.0;0.0;;54.72;0.34;100.78;0.1;0.0;Generatore a combustione;;Gas naturale;683.0;;;;0.83;0.0;121.81;Pompa di calore;Energia elettrica;2.0;;;;1.51;6.31;26.18;Scalda-acqua;Energia elettrica;1.2;0.34;12.67;52.58;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;0.0;0.0;0.0;;;;0.0;0.0;0.0;True;True;False;False;True;False;Massimo Pullano;Diploma di geometra;Collegio dei geometri;200.57
1514602359816;21/08/2016;True;False;MILANO;;521;40;67;False;False;E.1(1);False;True;False;107;False;False;True;False;False;True;Annuncio commerciale;Lombardia;MILANO;Via Alzaia Naviglio Pavese 34;2;;45.4482789808395;9.176645663119245;(45.4482789808395, 9.176645663119245);E;1930-1945;40.07;0.0;173.19;0.0;True;False;False;True;False;False;red;yellow;False;G;550.07;B (48,23);;9.84;105.97;838.55;1955.17;0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;;;1.0;Fabbricato - involucro opaco;Si;10.0;10.0;349.5;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;52.23;0.3;86.83;0.02;0.27;Generatore a combustione;015146CT0135846;Gas naturale;4.83;;;;0.17;9.84;524.61;;;;;;;0.0;0.0;0.0;Scalda-acqua;Gas naturale;20.9;0.68;0.0;25.46;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;True;True;False;False;True;False;Laura Giannecchini;Diploma di laurea in architettura;Ordine degli architetti;200.57000000000005
